Date,Operator,Aboard,Fatalities
12/28/1962,Carvair ATL-98,18,1
12/29/1962,Air Nautic,25,25
03/10/1964,Commercial Air Taxi,2,2
01/14/1963,Wien Alaska Airlines,6,5
01/15/1963,Cruzeiro,45,13
01/17/1963,West Coast Airlines,3,3
01/26/1963,Skyvan Airways,2,1
01/29/1963,Continental Airlines,8,8
02/03/1963,Slick Airways,8,3
02/08/1963,Aeroflot,7,7
02/12/1963,Northwest Orient Airlines,43,43
02/28/1963,Eastern Air Lines,26,0
03/02/1963,Philippine Air Lines,27,27
03/05/1963,Private,4,4
03/15/1963,Middle East Airlines,4,4
03/15/1963,Lloyd Aereo Boliviano,41,41
03/20/1963,Saudi Arabian Royal Flight,18,18
11/20/1964,Linjefyg,43,31
03/30/1963,Itavia,11,11
04/14/1963,Icelandair,12,12
05/03/1963,Air Afrique,55,55
05/03/1963,Cruzeiro,50,37
05/12/1963,United Arab Airlines,34,34
06/03/1963,Northwest Orient Airlines,101,101
06/03/1963,Indian Airlines,29,29
06/10/1963,Union of Burma Airways,20,20
06/16/1963,Tarom,31,31
